birdName
Aix galericulata
Alcedo atthis
Amaurornis phoenicurus
Anas acuta
Mareca falcata
Sibirionetta formosa
Ardea intermedia
Ardeola bacchus
Asio flammeus
Asio otus
Aythya ferina
Aythya fuligula
Bubo bubo
Calonectris leucomelas
Ciconia nigra
Corvus corone
Cygnus columbianus
Egretta garzetta
Gallicrex cinerea
Gavia stellata
Grus grus
Grus japonensis
Grus vipio
Halcyon pileata
Ixobrychus eurhythmus
Larus argentatus
Larus canus
Larus ridibundus
Megaceryle lugubris
Mergus albellus
Mergus merganser
Numenius madagascariensis
Nycticorax nycticorax
Pelecanus crispus
Phalacrocorax carbo
Phasianus colchicus
Pica pica
Platalea leucorodia
Podiceps cristatus
Podiceps nigricollis
Spheniscus demersus
Synthliboramphus antiquus
Tachybaptus ruficollis
Tadorna ferruginea
